date,regime,risk_on,macro_score,gdp_z,infl_z,m2_z,vel_z,yield_level_z
1970-05-31,Contraction,0.44514546545295464,-0.22030486206890698,-0.47671248128816107,-0.40811876309297007,0.07466838645394602,-0.2588704913725059,
1970-06-30,Overheating,0.47452726511612003,-0.10197922770131083,-0.47671248128816107,0.8822305767741258,0.4296452895567345,-0.2588704913725059,
1970-07-31,Recovery,0.5318143932813443,0.12742973081057585,1.0511863412219653,-0.4731138900915762,0.533977104175967,-1.2028742529662049,
1970-08-31,Recovery,0.5745210788552313,0.30032137963830235,-0.47567346994965753,-0.5307617141159594,1.5966865987669416,-0.22004898990237684,
1970-09-30,Overheating,0.5916242393574973,0.3706839700146786,-0.47567346994965753,0.8402973429946403,1.8077743698960702,-0.22004898990237684,
1970-10-31,Stagflation,0.14650464658407245,-1.7622829528157151,-2.2879714765264416,0.7981329090716709,1.1360398595959034,-4.134917241516607,
1970-11-30,Overheating,0.5269988622713887,0.10810059582627042,-0.40548206370370826,0.7628515012327096,0.8289718694082352,-0.09918801822571567,
1970-12-31,Overheating,0.5559397553398115,0.22469969527523662,-0.40548206370370826,0.7285420253734359,1.1787691677551337,-0.09918801822571567,
1971-01-31,Recovery,0.9240668176905337,2.498930609102881,4.216816440207032,-0.6889971021880783,1.631388982789214,1.6485864043123974,
1971-02-28,Recovery,0.6481217545949285,0.6107933495685555,-0.40035733044285526,-1.995366375685857,2.328334592298387,-0.09559721314986537,
1971-03-31,Recovery,0.6599342118721171,0.6630010576842151,-0.40035733044285526,-0.6158686288803878,2.4849577166453662,-0.09559721314986537,
1971-04-30,Recovery,0.4663534298661916,-0.13478998630656372,0.5123252549516245,-0.6122366369840404,2.119223331577733,-3.0359185454490487,
1971-05-31,Overheating,0.6184265480607738,0.4828750598281834,-0.40521242321041795,0.7181678705278762,1.893255261686175,-0.03941765899120689,
1971-06-30,Overheating,0.5441671715064782,0.17713036209440255,-0.40521242321041795,0.6783715582005635,0.9760211684848324,-0.03941765899120689,
1971-07-31,Recovery,0.5286413341346673,0.11469089172459464,0.9915138401262986,-0.7071401319107535,1.0485727910646714,-1.6960139560171863,
1971-08-31,Recovery,0.5265683108769966,0.1063734341504285,-0.4048052279857454,-0.6841408484565525,0.7028771096056109,0.021048420831420035,
1971-09-30,Recovery,0.5600870963948558,0.24151553994590194,-0.4048052279857454,-0.6798888197166365,1.1083034269920313,0.021048420831420035,
1971-10-31,Recovery,0.36319321794778847,-0.5615313111795273,0.010595503798027296,-0.6756972631383055,0.6038335351538732,-2.2990229724904823,
